date,imf_code,region,cpi_index
2021-09-01,U150,europe,109.906
2021-10-01,U150,europe,110.856
2021-11-01,U150,europe,111.483
2021-12-01,U150,europe,112.053
2022-01-01,U150,europe,113.006
2022-02-01,U150,europe,113.969
2022-03-01,U150,europe,117.116
2022-04-01,U150,europe,118.405
2022-05-01,U150,europe,119.308
2022-06-01,U150,europe,120.146
2022-07-01,U150,europe,120.607
2022-08-01,U150,europe,121.078
2022-09-01,U150,europe,121.945
2022-10-01,U150,europe,123.253
2022-11-01,U150,europe,123.546
2022-12-01,U150,europe,123.807
2023-01-01,U150,europe,124.006
2023-02-01,U150,europe,124.925
2023-03-01,U150,europe,125.624
2023-04-01,U150,europe,126.32
2023-05-01,U150,europe,126.54
2023-06-01,U150,europe,126.878
2023-07-01,U150,europe,127.118
2023-08-01,U150,europe,127.551
2023-09-01,U150,europe,127.847
2023-10-01,U150,europe,128.184
2023-11-01,U150,europe,128.189
2023-12-01,U150,europe,128.496
2024-01-01,U150,europe,128.911
2024-02-01,U150,europe,129.609
2024-03-01,U150,europe,130.128
2024-04-01,U150,europe,130.738
2024-05-01,U150,europe,131.037
2024-06-01,U150,europe,131.363
2024-07-01,U150,europe,131.905
2024-08-01,U150,europe,132.104
2024-09-01,U150,europe,131.989
2024-10-01,U150,europe,132.579
2024-11-01,U150,europe,132.933
2024-12-01,U150,europe,133.524
2025-01-01,U150,europe,134.309
2025-02-01,U150,europe,134.962
2025-03-01,U150,europe,135.371
2025-04-01,U150,europe,136.004
2025-05-01,U150,europe,136.162
2025-06-01,U150,europe,136.522
2025-07-01,U150,europe,137.044
2025-08-01,U150,europe,137.141
2025-09-01,U150,europe,137.091
2025-10-01,U150,europe,137.475
2025-11-01,U150,europe,137.463
2025-12-01,U150,europe,137.679
2026-01-01,U150,europe,138.123
2026-02-01,U150,europe,138.844
2026-03-01,U150,europe,139.962
2026-04-01,U150,europe,140.882
2011-01-01,G001,world,80.696
2011-02-01,G001,world,81.106
2011-03-01,G001,world,81.584
2011-04-01,G001,world,82.019
2011-05-01,G001,world,82.33
2011-06-01,G001,world,82.484
2011-07-01,G001,world,82.771
2011-08-01,G001,world,83.095
2011-09-01,G001,world,83.46
2011-10-01,G001,world,83.711
2011-11-01,G001,world,83.868
2011-12-01,G001,world,84.013
2012-01-01,G001,world,84.42
2012-02-01,G001,world,84.741
2012-03-01,G001,world,85.213
2012-04-01,G001,world,85.536
2012-05-01,G001,world,85.592
2012-06-01,G001,world,85.585
2012-07-01,G001,world,85.783
2012-08-01,G001,world,86.253
2012-09-01,G001,world,86.66
2012-10-01,G001,world,86.936
2012-11-01,G001,world,86.962
2012-12-01,G001,world,87.174
2013-01-01,G001,world,87.497
2013-02-01,G001,world,88.056
2013-03-01,G001,world,88.209
2013-04-01,G001,world,88.384
2013-05-01,G001,world,88.465
2013-06-01,G001,world,88.748
2013-07-01,G001,world,89.059
2013-08-01,G001,world,89.35
2013-09-01,G001,world,89.68
2013-10-01,G001,world,89.871
2013-11-01,G001,world,90.006
2013-12-01,G001,world,90.132
2014-01-01,G001,world,90.427
2014-02-01,G001,world,90.743
2014-03-01,G001,world,91.045
2014-04-01,G001,world,91.379
2014-05-01,G001,world,91.603
2014-06-01,G001,world,91.775
2014-07-01,G001,world,92.037
2014-08-01,G001,world,92.211
2014-09-01,G001,world,92.435
